ID,Name,State,Value,
AL-001,Autauga County,Alabama,64.98,
AL-003,Baldwin County,Alabama,83.49,
AL-005,Barbour County,Alabama,61.39,
AL-007,Bibb County,Alabama,57.42,
AL-009,Blount County,Alabama,61.81,
AL-011,Bullock County,Alabama,65.41,
AL-013,Butler County,Alabama,71.24,
AL-015,Calhoun County,Alabama,59.58,
AL-017,Chambers County,Alabama,59.81,
AL-019,Cherokee County,Alabama,60.55,
AL-021,Chilton County,Alabama,62.83,
AL-023,Choctaw County,Alabama,57.61,
AL-025,Clarke County,Alabama,74.79,
AL-027,Clay County,Alabama,68.99,
AL-029,Cleburne County,Alabama,63.02,
AL-031,Coffee County,Alabama,70.49,
AL-033,Colbert County,Alabama,55.93,
AL-035,Conecuh County,Alabama,71.29,
AL-037,Coosa County,Alabama,67.02,
AL-039,Covington County,Alabama,70.27,
AL-041,Crenshaw County,Alabama,73.3,
AL-043,Cullman County,Alabama,61.32,
AL-045,Dale County,Alabama,67.88,
AL-047,Dallas County,Alabama,58.84,
AL-049,DeKalb County,Alabama,65.41,
AL-051,Elmore County,Alabama,70.51,
AL-053,Escambia County,Alabama,76.36,
AL-055,Etowah County,Alabama,58.91,
AL-057,Fayette County,Alabama,56.71,
AL-059,Franklin County,Alabama,60.03,
AL-061,Geneva County,Alabama,62.49,
AL-063,Greene County,Alabama,57.89,
AL-065,Hale County,Alabama,53.53,
AL-067,Henry County,Alabama,58.99,
AL-069,Houston County,Alabama,56.81,
AL-071,Jackson County,Alabama,64.28,
AL-073,Jefferson County,Alabama,62.43,
AL-075,Lamar County,Alabama,53.18,
AL-077,Lauderdale County,Alabama,54.87,
AL-079,Lawrence County,Alabama,55.74,
AL-081,Lee County,Alabama,60.41,
AL-083,Limestone County,Alabama,57.15,
AL-085,Lowndes County,Alabama,68.06,
AL-087,Macon County,Alabama,63.02,
AL-089,Madison County,Alabama,60.94,
AL-091,Marengo County,Alabama,54.23,
AL-093,Marion County,Alabama,59.15,
AL-095,Marshall County,Alabama,59.87,
AL-097,Mobile County,Alabama,81.78,
AL-099,Monroe County,Alabama,74.82,
AL-101,Montgomery County,Alabama,71.08,
AL-103,Morgan County,Alabama,56.62,
AL-105,Perry County,Alabama,54,
AL-107,Pickens County,Alabama,54.01,
AL-109,Pike County,Alabama,76.37,
AL-111,Randolph County,Alabama,64.5,
AL-113,Russell County,Alabama,53.82,
AL-115,St. Clair County,Alabama,63.88,
AL-117,Shelby County,Alabama,63.97,
AL-119,Sumter County,Alabama,54.86,
AL-121,Talladega County,Alabama,67.15,
AL-123,Tallapoosa County,Alabama,59.96,
AL-125,Tuscaloosa County,Alabama,56.54,
AL-127,Walker County,Alabama,55.36,
AL-129,Washington County,Alabama,81.05,
AL-131,Wilcox County,Alabama,68.6,
AL-133,Winston County,Alabama,59.9,
AZ-001,Apache County,Arizona,9.11,
AZ-003,Cochise County,Arizona,10.56,
AZ-005,Coconino County,Arizona,11.37,
AZ-007,Gila County,Arizona,14.69,
AZ-009,Graham County,Arizona,9.6,
AZ-011,Greenlee County,Arizona,11.14,
AZ-012,La Paz County,Arizona,5.14,
AZ-013,Maricopa County,Arizona,6.46,
AZ-015,Mohave County,Arizona,9.38,
AZ-017,Navajo County,Arizona,9.15,
AZ-019,Pima County,Arizona,7.96,
AZ-021,Pinal County,Arizona,8.1,
AZ-023,Santa Cruz County,Arizona,12.95,
AZ-025,Yavapai County,Arizona,13.58,
AZ-027,Yuma County,Arizona,3.87,
AR-001,Arkansas County,Arkansas,42.31,
AR-003,Ashley County,Arkansas,52.23,
AR-005,Baxter County,Arkansas,47.79,
AR-007,Benton County,Arkansas,52.53,
AR-009,Boone County,Arkansas,44.12,
AR-011,Bradley County,Arkansas,50.25,
AR-013,Calhoun County,Arkansas,52,
AR-015,Carroll County,Arkansas,45.55,
AR-017,Chicot County,Arkansas,54.73,
AR-019,Clark County,Arkansas,48.02,
AR-021,Clay County,Arkansas,46.44,
AR-023,Cleburne County,Arkansas,55.04,
AR-025,Cleveland County,Arkansas,53.35,
AR-027,Columbia County,Arkansas,47.32,
AR-029,Conway County,Arkansas,52.97,
AR-031,Craighead County,Arkansas,50.73,
AR-033,Crawford County,Arkansas,52.93,
AR-035,Crittenden County,Arkansas,53.17,
AR-037,Cross County,Arkansas,58.65,
AR-039,Dallas County,Arkansas,52.68,
AR-041,Desha County,Arkansas,51.41,
AR-043,Drew County,Arkansas,53.45,
AR-045,Faulkner County,Arkansas,53.37,
AR-047,Franklin County,Arkansas,51.63,
AR-049,Fulton County,Arkansas,47.41,
AR-051,Garland County,Arkansas,46.93,
AR-053,Grant County,Arkansas,47.81,
AR-055,Greene County,Arkansas,49.95,
AR-057,Hempstead County,Arkansas,51.31,
AR-059,Hot Spring County,Arkansas,44.49,
AR-061,Howard County,Arkansas,50.84,
AR-063,Independence County,Arkansas,52.86,
AR-065,Izard County,Arkansas,47.83,
AR-067,Jackson County,Arkansas,51.48,
AR-069,Jefferson County,Arkansas,49.71,
AR-071,Johnson County,Arkansas,52.99,
AR-073,Lafayette County,Arkansas,46.93,
AR-075,Lawrence County,Arkansas,48.35,
AR-077,Lee County,Arkansas,56.24,
AR-079,Lincoln County,Arkansas,52.16,
AR-081,Little River County,Arkansas,53.44,
AR-083,Logan County,Arkansas,45.99,
AR-085,Lonoke County,Arkansas,49.59,
AR-087,Madison County,Arkansas,50.83,
AR-089,Marion County,Arkansas,46.25,
AR-091,Miller County,Arkansas,48.95,
AR-093,Mississippi County,Arkansas,49.84,
AR-095,Monroe County,Arkansas,46.33,
AR-097,Montgomery County,Arkansas,49.68,
AR-099,Nevada County,Arkansas,51.2,
AR-101,Newton County,Arkansas,48.07,
AR-103,Ouachita County,Arkansas,52.18,
AR-105,Perry County,Arkansas,48.75,
AR-107,Phillips County,Arkansas,50.29,
AR-109,Pike County,Arkansas,51.83,
AR-111,Poinsett County,Arkansas,53.62,
AR-113,Polk County,Arkansas,47.02,
AR-115,Pope County,Arkansas,51.2,
AR-117,Prairie County,Arkansas,50.12,
AR-119,Pulaski County,Arkansas,51.2,
AR-121,Randolph County,Arkansas,47.37,
AR-123,St. Francis County,Arkansas,56.33,
AR-125,Saline County,Arkansas,49.59,
AR-127,Scott County,Arkansas,45.78,
AR-129,Searcy County,Arkansas,45.95,
AR-131,Sebastian County,Arkansas,48.76,
AR-133,Sevier County,Arkansas,53.41,
AR-135,Sharp County,Arkansas,52.15,
AR-137,Stone County,Arkansas,51.7,
AR-139,Union County,Arkansas,49.18,
AR-141,Van Buren County,Arkansas,52.02,
AR-143,Washington County,Arkansas,52.05,
AR-145,White County,Arkansas,53.93,
AR-147,Woodruff County,Arkansas,55.37,
AR-149,Yell County,Arkansas,45.69,
CA-001,Alameda County,California,24.97,
CA-003,Alpine County,California,64.24,
CA-005,Amador County,California,55.94,
CA-007,Butte County,California,56.41,
CA-009,Calaveras County,California,51.55,
CA-011,Colusa County,California,27.44,
CA-013,Contra Costa County,California,26.84,
CA-015,Del Norte County,California,92.56,
CA-017,El Dorado County,California,73.52,
CA-019,Fresno County,California,27.16,
CA-021,Glenn County,California,28.56,
CA-023,Humboldt County,California,76.72,
CA-025,Imperial County,California,2.82,
CA-027,Inyo County,California,7.68,
CA-029,Kern County,California,9.68,
CA-031,Kings County,California,8.21,
CA-033,Lake County,California,56.99,
CA-035,Lassen County,California,28.47,
CA-037,Los Angeles County,California,13.69,
CA-039,Madera County,California,29.76,
CA-041,Marin County,California,45.85,
CA-043,Mariposa County,California,41.99,
