ID,Name,State,Value,
AL-001,Autauga County,Alabama,50.76,
AL-003,Baldwin County,Alabama,58.19,
AL-005,Barbour County,Alabama,40.42,
AL-007,Bibb County,Alabama,44.56,
AL-009,Blount County,Alabama,35.78,
AL-011,Bullock County,Alabama,40.89,
AL-013,Butler County,Alabama,49.7,
AL-015,Calhoun County,Alabama,33.76,
AL-017,Chambers County,Alabama,41.36,
AL-019,Cherokee County,Alabama,36.8,
AL-021,Chilton County,Alabama,46.64,
AL-023,Choctaw County,Alabama,44.89,
AL-025,Clarke County,Alabama,49.79,
AL-027,Clay County,Alabama,40.91,
AL-029,Cleburne County,Alabama,34.17,
AL-031,Coffee County,Alabama,48.33,
AL-033,Colbert County,Alabama,44.01,
AL-035,Conecuh County,Alabama,52.04,
AL-037,Coosa County,Alabama,44.72,
AL-039,Covington County,Alabama,49.99,
AL-041,Crenshaw County,Alabama,46.69,
AL-043,Cullman County,Alabama,41.18,
AL-045,Dale County,Alabama,47.5,
AL-047,Dallas County,Alabama,48.5,
AL-049,DeKalb County,Alabama,41.74,
AL-051,Elmore County,Alabama,44.9,
AL-053,Escambia County,Alabama,51.88,
AL-055,Etowah County,Alabama,37.68,
AL-057,Fayette County,Alabama,42.77,
AL-059,Franklin County,Alabama,46.08,
AL-061,Geneva County,Alabama,55.59,
AL-063,Greene County,Alabama,42.13,
AL-065,Hale County,Alabama,42.28,
AL-067,Henry County,Alabama,44.58,
AL-069,Houston County,Alabama,55.15,
AL-071,Jackson County,Alabama,41.9,
AL-073,Jefferson County,Alabama,38.78,
AL-075,Lamar County,Alabama,43.99,
AL-077,Lauderdale County,Alabama,44.11,
AL-079,Lawrence County,Alabama,44.38,
AL-081,Lee County,Alabama,41.43,
AL-083,Limestone County,Alabama,44.89,
AL-085,Lowndes County,Alabama,46.04,
AL-087,Macon County,Alabama,41.47,
AL-089,Madison County,Alabama,47.63,
AL-091,Marengo County,Alabama,46.72,
AL-093,Marion County,Alabama,47.24,
AL-095,Marshall County,Alabama,39.46,
AL-097,Mobile County,Alabama,58.68,
AL-099,Monroe County,Alabama,50.64,
AL-101,Montgomery County,Alabama,43.87,
AL-103,Morgan County,Alabama,42.58,
AL-105,Perry County,Alabama,47.03,
AL-107,Pickens County,Alabama,44.29,
AL-109,Pike County,Alabama,43.38,
AL-111,Randolph County,Alabama,38.63,
AL-113,Russell County,Alabama,37.59,
AL-115,St. Clair County,Alabama,35.4,
AL-117,Shelby County,Alabama,39.33,
AL-119,Sumter County,Alabama,41.34,
AL-121,Talladega County,Alabama,38.68,
AL-123,Tallapoosa County,Alabama,42.38,
AL-125,Tuscaloosa County,Alabama,41.1,
AL-127,Walker County,Alabama,41.43,
AL-129,Washington County,Alabama,51.08,
AL-131,Wilcox County,Alabama,46.38,
AL-133,Winston County,Alabama,44.85,
AZ-001,Apache County,Arizona,11.87,
AZ-003,Cochise County,Arizona,15.75,
AZ-005,Coconino County,Arizona,14.23,
