ID,Name,State,Value,
AL-001,Autauga County,Alabama,68.14,
AL-003,Baldwin County,Alabama,75.08,
AL-005,Barbour County,Alabama,60.05,
AL-007,Bibb County,Alabama,63.68,
AL-009,Blount County,Alabama,60.71,
AL-011,Bullock County,Alabama,59.68,
AL-013,Butler County,Alabama,66.11,
AL-015,Calhoun County,Alabama,57.61,
AL-017,Chambers County,Alabama,64.78,
AL-019,Cherokee County,Alabama,65.31,
AL-021,Chilton County,Alabama,68.3,
AL-023,Choctaw County,Alabama,62.3,
AL-025,Clarke County,Alabama,67.55,
AL-027,Clay County,Alabama,65.42,
AL-029,Cleburne County,Alabama,64.33,
AL-031,Coffee County,Alabama,69.95,
AL-033,Colbert County,Alabama,62.97,
AL-035,Conecuh County,Alabama,66.11,
AL-037,Coosa County,Alabama,66.56,
AL-039,Covington County,Alabama,70.2,
AL-041,Crenshaw County,Alabama,65.62,
AL-043,Cullman County,Alabama,61.46,
AL-045,Dale County,Alabama,67.47,
AL-047,Dallas County,Alabama,64.05,
AL-049,DeKalb County,Alabama,65.62,
AL-051,Elmore County,Alabama,63.75,
AL-053,Escambia County,Alabama,68.65,
AL-055,Etowah County,Alabama,59.66,
AL-057,Fayette County,Alabama,70.73,
AL-059,Franklin County,Alabama,63.66,
AL-061,Geneva County,Alabama,75.51,
AL-063,Greene County,Alabama,62.55,
AL-065,Hale County,Alabama,59.11,
AL-067,Henry County,Alabama,63.35,
AL-069,Houston County,Alabama,71.86,
AL-071,Jackson County,Alabama,65.7,
AL-073,Jefferson County,Alabama,61.42,
AL-075,Lamar County,Alabama,64.52,
AL-077,Lauderdale County,Alabama,64.15,
AL-079,Lawrence County,Alabama,63.83,
AL-081,Lee County,Alabama,62.42,
AL-083,Limestone County,Alabama,64.89,
AL-085,Lowndes County,Alabama,62.54,
AL-087,Macon County,Alabama,59.85,
AL-089,Madison County,Alabama,64.86,
AL-091,Marengo County,Alabama,54.31,
AL-093,Marion County,Alabama,65.36,
AL-095,Marshall County,Alabama,59.94,
AL-097,Mobile County,Alabama,70.35,
AL-099,Monroe County,Alabama,65.08,
AL-101,Montgomery County,Alabama,62.88,
AL-103,Morgan County,Alabama,61.76,
AL-105,Perry County,Alabama,59.06,
AL-107,Pickens County,Alabama,61.97,
AL-109,Pike County,Alabama,63.31,
AL-111,Randolph County,Alabama,66.1,
AL-113,Russell County,Alabama,57.84,
AL-115,St. Clair County,Alabama,59.98,
AL-117,Shelby County,Alabama,64.74,
AL-119,Sumter County,Alabama,58.75,
